bin,lo,hi,count,confidence,accuracy,gap,device,precision,variant
2,0.2,0.30000000000000004,264,0.2473938905379989,0.13636363636363635,0.11103025417436255,jetson,int8,logitKD
3,0.30000000000000004,0.4,235,0.34802241908743026,0.24680851063829787,0.10121390844913239,jetson,int8,logitKD
4,0.4,0.5,180,0.445475184586313,0.43333333333333335,0.012141851252979674,jetson,int8,logitKD
5,0.5,0.6000000000000001,81,0.5414706196314023,0.6172839506172839,0.07581333098588161,jetson,int8,logitKD
6,0.6000000000000001,0.7000000000000001,35,0.6500818916729518,0.7428571428571429,0.09277525118419105,jetson,int8,logitKD
7,0.7000000000000001,0.8,16,0.7383775971829891,0.875,0.13662240281701088,jetson,int8,logitKD
8,0.8,0.9,8,0.8192024007439613,0.875,0.055797599256038666,jetson,int8,logitKD
9,0.9,1.0,0,,,,jetson,int8,logitKD
0,0.0,0.1,14,0.09385423309036664,0.0,0.09385423309036664,jetson,int8,featureKD
1,0.1,0.2,166,0.15462375840688325,0.03614457831325301,0.11847918009363023,jetson,int8,featureKD
2,0.2,0.30000000000000004,255,0.25236674687441657,0.18823529411764706,0.06413145275676951,jetson,int8,featureKD
3,0.30000000000000004,0.4,256,0.35106769227422774,0.22265625,0.12841144227422774,jetson,int8,featureKD
4,0.4,0.5,162,0.45051889415876367,0.2222222222222222,0.22829667193654146,jetson,int8,featureKD
5,0.5,0.6000000000000001,168,0.5473286534349123,0.31547619047619047,0.23185246295872186,jetson,int8,featureKD
6,0.6000000000000001,0.7000000000000001,94,0.6481688212841115,0.5957446808510638,0.05242414043304766,jetson,int8,featureKD
7,0.7000000000000001,0.8,44,0.7388191494074735,0.6363636363636364,0.10245551304383715,jetson,int8,featureKD
8,0.8,0.9,10,0.8331175684928894,0.8,0.03311756849288938,jetson,int8,featureKD
9,0.9,1.0,1,0.9000443816184998,1.0,0.09995561838150024,jetson,int8,featureKD
0,0.0,0.1,21,0.08826725025262151,0.0,0.08826725025262151,jetson,int8,featureHardKD
1,0.1,0.2,440,0.15805979875678366,0.06363636363636363,0.09442343512042004,jetson,int8,featureHardKD
2,0.2,0.30000000000000004,482,0.24648161767305674,0.2821576763485477,0.03567605867549098,jetson,int8,featureHardKD
3,0.30000000000000004,0.4,203,0.3381312047613078,0.5517241379310345,0.21359293316972666,jetson,int8,featureHardKD
4,0.4,0.5,24,0.4294496203462283,0.7083333333333334,0.27888371298710507,jetson,int8,featureHardKD
5,0.5,0.6000000000000001,0,,,,jetson,int8,featureHardKD
6,0.6000000000000001,0.7000000000000001,0,,,,jetson,int8,featureHardKD
7,0.7000000000000001,0.8,0,,,,jetson,int8,featureHardKD
