device,variant,precision,label,auroc
jetson,featureHardKD,FP16,Lung Opacity,0.8862
jetson,featureHardKD,FP16,Lung Lesion,0.2940
jetson,featureHardKD,FP16,Edema,0.9061
jetson,featureHardKD,FP16,Consolidation,0.9088
jetson,featureHardKD,FP16,Pneumonia,0.7306
jetson,featureHardKD,FP16,Atelectasis,0.7634
jetson,featureHardKD,FP16,Pneumothorax,0.7069
jetson,featureHardKD,FP16,Pleural Effusion,0.9057
jetson,featureHardKD,FP16,Pleural Other,0.8541
jetson,featureHardKD,FP16,Support Devices,0.8708
jetson,featureHardKD,FP16,MACRO (14),0.7746
jetson,featureHardKD,FP16,MACRO (5 competition),0.8540
jetson,featureHardKD,INT8,No Finding,0.8179
jetson,featureHardKD,INT8,Enlarged Cardiomediastinum,0.7426
jetson,featureHardKD,INT8,Cardiomegaly,0.7008
jetson,featureHardKD,INT8,Lung Opacity,0.8349
jetson,featureHardKD,INT8,Lung Lesion,0.1845
jetson,featureHardKD,INT8,Edema,0.8467
jetson,featureHardKD,INT8,Consolidation,0.8242
jetson,featureHardKD,INT8,Pneumonia,0.6067
jetson,featureHardKD,INT8,Atelectasis,0.7353
jetson,featureHardKD,INT8,Pneumothorax,0.6244
jetson,featureHardKD,INT8,Pleural Effusion,0.8712
jetson,featureHardKD,INT8,Pleural Other,0.9442
jetson,featureHardKD,INT8,Support Devices,0.7802
jetson,featureHardKD,INT8,MACRO (14),0.7318
jetson,featureHardKD,INT8,MACRO (5 competition),0.7956
