device,precision,variant,pathology,threshold,sensitivity,specificity,youden_j,tp,fp,tn,fn,ppv,npv,n_pos,n_neg
jetson,int8,featureHardKD,Pleural Effusion,0.2549934387207031,0.8059701492537313,0.8023952095808383,0.6083653588345697,54,33,134,13,0.6206896551724138,0.9115646258503401,67,167
legion,fp32,baseline,Cardiomegaly,0.22277455031871796,0.75,0.7469879518072289,0.4969879518072289,51,42,124,17,0.5483870967741935,0.8794326241134752,68,166
legion,fp32,baseline,Edema,0.27841782569885254,0.8222222222222222,0.783068783068783,0.6052910052910052,37,41,148,8,0.47435897435897434,0.9487179487179487,45,189
legion,fp32,baseline,Consolidation,0.19001436233520508,0.8181818181818182,0.736318407960199,0.5545002261420171,27,53,148,6,0.3375,0.961038961038961,33,201
legion,fp32,baseline,Atelectasis,0.24318993091583252,0.6625,0.6428571428571429,0.3053571428571429,53,55,99,27,0.49074074074074076,0.7857142857142857,80,154
legion,fp32,baseline,Pleural Effusion,0.3413676619529724,0.7910447761194029,0.7724550898203593,0.5634998659397623,53,38,129,14,0.5824175824175825,0.9020979020979021,67,167
legion,fp32,logitKD,Cardiomegaly,0.19036561250686646,0.8823529411764706,0.6204819277108434,0.5028348688873141,60,63,103,8,0.4878048780487805,0.9279279279279279,68,166
legion,fp32,logitKD,Edema,0.3841796815395355,0.8888888888888888,0.8412698412698413,0.7301587301587302,40,30,159,5,0.5714285714285714,0.9695121951219512,45,189
legion,fp32,logitKD,Consolidation,0.33134856820106506,0.9393939393939394,0.8308457711442786,0.7702397105382182,31,34,167,2,0.47692307692307695,0.9881656804733728,33,201
legion,fp32,logitKD,Atelectasis,0.37350863218307495,0.775,0.6558441558441559,0.4308441558441558,62,53,101,18,0.5391304347826087,0.8487394957983193,80,154
legion,fp32,logitKD,Pleural Effusion,0.3402346670627594,0.8507462686567164,0.8203592814371258,0.6711055500938423,57,30,137,10,0.6551724137931034,0.9319727891156463,67,167
legion,fp32,featureKD,Cardiomegaly,0.19381240010261536,0.8529411764705882,0.6445783132530121,0.4975194897236004,58,59,107,10,0.49572649572649574,0.9145299145299145,68,166
legion,fp32,featureKD,Edema,0.3530280888080597,0.8444444444444444,0.8359788359788359,0.6804232804232804,38,31,158,7,0.5507246376811594,0.9575757575757575,45,189
legion,fp32,featureKD,Consolidation,0.30113139748573303,0.9696969696969697,0.7263681592039801,0.6960651289009498,32,55,146,1,0.367816091954023,0.9931972789115646,33,201
legion,fp32,featureKD,Atelectasis,0.38329336047172546,0.7875,0.7077922077922078,0.49529220779220773,63,45,109,17,0.5833333333333334,0.8650793650793651,80,154
legion,fp32,featureKD,Pleural Effusion,0.387288898229599,0.7910447761194029,0.8622754491017964,0.6533202252211994,53,23,144,14,0.6973684210526315,0.9113924050632911,67,167
legion,fp32,featureHardKD,Cardiomegaly,0.1924019604921341,0.6617647058823529,0.7891566265060241,0.45092133238837695,45,35,131,23,0.5625,0.8506493506493507,68,166
legion,fp32,featureHardKD,Edema,0.27611908316612244,0.8666666666666667,0.8518518518518519,0.7185185185185186,39,28,161,6,0.582089552238806,0.9640718562874252,45,189
legion,fp32,featureHardKD,Consolidation,0.19346457719802856,0.8787878787878788,0.7860696517412935,0.6648575305291722,29,43,158,4,0.4027777777777778,0.9753086419753086,33,201
legion,fp32,featureHardKD,Atelectasis,0.24848072230815887,0.7875,0.6493506493506493,0.43685064935064943,63,54,100,17,0.5384615384615384,0.8547008547008547,80,154
legion,fp32,featureHardKD,Pleural Effusion,0.26376354694366455,0.8955223880597015,0.7844311377245509,0.6799535257842524,60,36,131,7,0.625,0.9492753623188406,67,167
legion,fp16,baseline,Cardiomegaly,0.2223622351884842,0.75,0.7409638554216867,0.49096385542168663,51,43,123,17,0.5425531914893617,0.8785714285714286,68,166
legion,fp16,baseline,Edema,0.2743513882160187,0.8222222222222222,0.7671957671957672,0.5894179894179894,37,44,145,8,0.4567901234567901,0.9477124183006536,45,189
legion,fp16,baseline,Consolidation,0.18713268637657166,0.8181818181818182,0.7213930348258707,0.5395748530076889,27,56,145,6,0.3253012048192771,0.9602649006622517,33,201
legion,fp16,baseline,Atelectasis,0.24490438401699066,0.6375,0.6623376623376623,0.2998376623376622,51,52,102,29,0.49514563106796117,0.7786259541984732,80,154
legion,fp16,baseline,Pleural Effusion,0.3166861832141876,0.8507462686567164,0.7065868263473054,0.5573330950040218,57,49,118,10,0.5377358490566038,0.921875,67,167
legion,fp16,logitKD,Cardiomegaly,0.19087478518486023,0.8823529411764706,0.6265060240963856,0.5088589652728561,60,62,104,8,0.4918032786885246,0.9285714285714286,68,166
legion,fp16,logitKD,Edema,0.3830064833164215,0.8888888888888888,0.8412698412698413,0.7301587301587302,40,30,159,5,0.5714285714285714,0.9695121951219512,45,189
legion,fp16,logitKD,Consolidation,0.3319854736328125,0.9393939393939394,0.8308457711442786,0.7702397105382182,31,34,167,2,0.47692307692307695,0.9881656804733728,33,201
legion,fp16,logitKD,Atelectasis,0.37170660495758057,0.775,0.6493506493506493,0.42435064935064926,62,54,100,18,0.5344827586206896,0.847457627118644,80,154
legion,fp16,logitKD,Pleural Effusion,0.3432316780090332,0.8507462686567164,0.8203592814371258,0.6711055500938423,57,30,137,10,0.6551724137931034,0.9319727891156463,67,167
legion,fp16,featureKD,Cardiomegaly,0.19513355195522308,0.8529411764705882,0.6445783132530121,0.4975194897236004,58,59,107,10,0.49572649572649574,0.9145299145299145,68,166
legion,fp16,featureKD,Edema,0.35767972469329834,0.8444444444444444,0.8359788359788359,0.6804232804232804,38,31,158,7,0.5507246376811594,0.9575757575757575,45,189
legion,fp16,featureKD,Consolidation,0.30228811502456665,0.9696969696969697,0.7313432835820896,0.7010402532790594,32,54,147,1,0.37209302325581395,0.9932432432432432,33,201
legion,fp16,featureKD,Atelectasis,0.3805287182331085,0.7875,0.7012987012987013,0.4887987012987014,63,46,108,17,0.5779816513761468,0.864,80,154
